CODIGO_OBRA,func_n_funcionarios,func_n_registros,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_score_max,func_score_mean,func_score_std,func_score_responsabilidad_mean,func_score_sancion_mean,func_pct_alto_riesgo,func_pct_medio_o_alto,func_n_obras_mean,func_n_obras_max,func_n_empresas_mean,func_n_empresas_max,func_n_representaciones_mean,func_n_representaciones_max,func_n_empresas_representadas_mean,func_n_empresas_representadas_max
102021,6,6,2,0.5,0.8366600265340756,10,1.8333333333333333,4.020779360604939,0.16666666666666666,1.6666666666666667,0.0,0.16666666666666666,3.1666666666666665,5,5.5,8.0,0.0,0.0,0.0,0.0
102022,7,7,3,0.5714285714285714,1.1338934190276817,54,8.428571428571429,20.181320925195017,7.857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,2.7142857142857144,5,3.7142857142857144,8.0,0.0,0.0,0.0,0.0
102591,6,6,2,0.6666666666666666,1.0327955589886446,10,3.0,4.690415759823429,3.0,0.0,0.0,0.3333333333333333,4.0,8,8.0,13.0,0.0,0.0,0.0,0.0
105653,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,9,11.625,29.0,0.0,0.0,0.0,0.0
106748,8,8,3,0.375,1.0606601717798212,24,3.0,8.48528137423857,3.0,0.0,0.125,0.125,4.625,11,6.375,17.0,0.0,0.0,0.0,0.0
108912,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,8,11.625,16.0,0.0,0.0,0.0,0.0
108914,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,8,12.5,16.0,0.0,0.0,0.0,0.0
108916,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8,13.333333333333334,16.0,0.0,0.0,0.0,0.0
108917,9,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.888888888888889,8,11.222222222222221,16.0,0.0,0.0,0.0,0.0
109529,7,7,3,1.5714285714285714,1.511857892036909,23,10.714285714285714,10.323343865794095,9.285714285714286,1.4285714285714286,0.42857142857142855,0.5714285714285714,1.1428571428571428,2,1.2857142857142858,3.0,0.0,0.0,0.0,0.0
111086,11,11,3,0.36363636363636365,0.9244162777371754,40,4.0,12.0,0.0,4.0,0.09090909090909091,0.09090909090909091,1.2727272727272727,2,2.6363636363636362,4.0,0.0,0.0,0.0,0.0
111275,8,8,1,0.125,0.3535533905932738,4,0.5,1.4142135623730951,0.5,0.0,0.0,0.0,1.75,2,3.75,4.0,0.0,0.0,0.0,0.0
111277,7,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,2,3.5714285714285716,4.0,0.0,0.0,0.0,0.0
114078,11,11,2,0.45454545454545453,0.8201995322647244,8,1.8181818181818181,3.2807981290588977,1.8181818181818181,0.0,0.0,0.18181818181818182,4.818181818181818,11,8.363636363636363,17.0,0.0,0.0,0.0,0.0
114812,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0
115003,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0
115008,6,6,2,0.3333333333333333,0.816496580927726,13,2.1666666666666665,5.307227776030219,2.1666666666666665,0.0,0.0,0.16666666666666666,1.8333333333333333,4,3.5,7.0,0.0,0.0,0.0,0.0
115016,6,6,2,0.3333333333333333,0.816496580927726,13,2.1666666666666665,5.307227776030219,2.1666666666666665,0.0,0.0,0.16666666666666666,1.8333333333333333,4,3.5,7.0,0.0,0.0,0.0,0.0
115304,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,7,5.5,16.0,0.0,0.0,0.0,0.0
115823,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,8,6.166666666666667,16.0,0.0,0.0,0.0,0.0
116356,9,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.6666666666666665,4.0,0.0,0.0,0.0,0.0
118093,13,13,1,0.15384615384615385,0.37553380809940534,3,0.38461538461538464,0.9607689228305228,0.23076923076923078,0.15384615384615385,0.0,0.0,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0
119151,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,7,10.333333333333334,16.0,0.0,0.0,0.0,0.0
119167,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0
119177,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0
121881,11,11,3,0.9090909090909091,1.3751033019046572,51,8.545454545454545,16.120568453771327,4.545454545454546,4.0,0.2727272727272727,0.2727272727272727,2.0,2,3.1818181818181817,6.0,0.0,0.0,0.0,0.0
122362,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,2,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
124333,8,8,3,1.0,1.1952286093343936,17,4.75,6.734771180756096,4.75,0.0,0.125,0.375,1.5,2,2.75,5.0,0.0,0.0,0.0,0.0
126276,11,11,2,0.5454545454545454,0.9341987329938276,15,3.0,5.385164807134504,1.3636363636363635,1.6363636363636365,0.0,0.2727272727272727,2.6363636363636362,3,5.454545454545454,11.0,0.0,0.0,0.0,0.0
126277,11,11,2,0.36363636363636365,0.8090398349558905,10,1.6363636363636365,3.6680438185149113,0.0,1.6363636363636365,0.0,0.18181818181818182,2.6363636363636362,3,5.454545454545454,11.0,0.0,0.0,0.0,0.0
126280,9,9,2,0.2222222222222222,0.6666666666666666,15,1.6666666666666667,5.0,1.6666666666666667,0.0,0.0,0.1111111111111111,1.3333333333333333,2,2.3333333333333335,4.0,0.0,0.0,0.0,0.0
127408,6,6,2,0.6666666666666666,1.0327955589886446,12,3.3333333333333335,5.316640543300503,3.3333333333333335,0.0,0.0,0.3333333333333333,5.5,11,8.0,17.0,0.0,0.0,0.0,0.0
127427,6,6,2,0.3333333333333333,0.816496580927726,8,1.3333333333333333,3.265986323710904,1.3333333333333333,0.0,0.0,0.16666666666666666,5.666666666666667,8,8.0,13.0,0.0,0.0,0.0,0.0
127558,11,11,2,0.5454545454545454,0.9341987329938276,12,2.5454545454545454,4.480259732730601,2.5454545454545454,0.0,0.0,0.2727272727272727,4.818181818181818,9,7.090909090909091,14.0,0.0,0.0,0.0,0.0
127708,6,6,2,0.5,0.8366600265340756,8,2.0,3.3466401061363023,2.0,0.0,0.0,0.16666666666666666,5.5,9,9.0,14.0,0.0,0.0,0.0,0.0
128472,6,6,2,1.3333333333333333,1.0327955589886444,8,5.0,3.9496835316262997,5.0,0.0,0.0,0.6666666666666666,6.5,11,8.666666666666666,17.0,0.0,0.0,0.0,0.0
129252,10,10,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8,3.3,16.0,0.0,0.0,0.0,0.0
129257,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.875,9,20.5,29.0,0.0,0.0,0.0,0.0
129392,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,9,20.666666666666668,25.0,0.0,0.0,0.0,0.0
129393,10,10,3,0.5,1.0801234497346435,20,3.4,7.306009702825324,3.4,0.0,0.1,0.2,1.0,1,1.8,3.0,0.0,0.0,0.0,0.0
129613,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,9,19.833333333333332,29.0,0.0,0.0,0.0,0.0
129614,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,9,18.333333333333332,29.0,0.0,0.0,0.0,0.0
130180,7,7,3,0.42857142857142855,1.1338934190276817,18,2.5714285714285716,6.80336051416609,2.5714285714285716,0.0,0.14285714285714285,0.14285714285714285,1.0,1,3.4285714285714284,4.0,0.0,0.0,0.0,0.0
130452,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,9,22.666666666666668,29.0,0.0,0.0,0.0,0.0
130759,9,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,9,19.333333333333332,29.0,0.0,0.0,0.0,0.0
130851,6,6,3,1.3333333333333333,1.505545305418162,20,8.333333333333334,9.83192080250175,8.333333333333334,0.0,0.3333333333333333,0.5,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0
130909,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,9,18.666666666666668,25.0,0.0,0.0,0.0,0.0
131498,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,9,19.666666666666668,29.0,0.0,0.0,0.0,0.0
131543,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,9,19.75,29.0,0.0,0.0,0.0,0.0
131605,6,6,3,0.5,1.224744871391589,24,4.0,9.797958971132712,4.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0
132111,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,9,15.333333333333334,29.0,0.0,0.0,0.0,0.0
132120,6,6,2,0.3333333333333333,0.816496580927726,8,1.3333333333333333,3.265986323710904,1.3333333333333333,0.0,0.0,0.16666666666666666,4.5,8,6.666666666666667,13.0,0.0,0.0,0.0,0.0
133488,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,8,12.375,16.0,0.0,0.0,0.0,0.0
133753,3,3,3,1.0,1.7320508075688772,16,5.333333333333333,9.237604307034013,5.333333333333333,0.0,0.3333333333333333,0.3333333333333333,3.3333333333333335,4,3.6666666666666665,5.0,0.0,0.0,0.0,0.0
133755,3,3,3,1.0,1.7320508075688772,16,5.333333333333333,9.237604307034013,5.333333333333333,0.0,0.3333333333333333,0.3333333333333333,3.0,4,4.0,5.0,0.0,0.0,0.0,0.0
133756,3,3,3,1.6666666666666667,1.5275252316519468,16,8.0,8.0,8.0,0.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,4,3.6666666666666665,5.0,0.0,0.0,0.0,0.0
133911,6,6,2,0.5,0.8366600265340756,6,1.6666666666666667,2.6583202716502514,1.6666666666666667,0.0,0.0,0.16666666666666666,4.166666666666667,6,5.333333333333333,11.0,0.0,0.0,0.0,0.0
134497,7,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.142857142857143,6.0,0.0,0.0,0.0,0.0
134953,10,10,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0
135093,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4.0,4.0,0.0,0.0,0.0,0.0
135454,6,6,3,1.1666666666666667,1.1690451944500122,16,4.333333333333333,6.121002096606949,4.333333333333333,0.0,0.16666666666666666,0.3333333333333333,3.1666666666666665,7,5.666666666666667,11.0,0.0,0.0,0.0,0.0
137209,3,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,4,15.0,17.0,0.0,0.0,0.0,0.0
137213,3,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,4,15.0,17.0,0.0,0.0,0.0,0.0
138320,11,11,3,0.5454545454545454,1.0357254813546264,16,2.727272727272727,5.6761062197761785,2.727272727272727,0.0,0.09090909090909091,0.18181818181818182,3.8181818181818183,11,6.090909090909091,17.0,0.0,0.0,0.0,0.0
138923,6,6,2,0.5,0.8366600265340756,8,2.1666666666666665,3.488074922742725,2.1666666666666665,0.0,0.0,0.16666666666666666,3.5,9,6.333333333333333,14.0,0.0,0.0,0.0,0.0
138963,6,6,1,0.16666666666666666,0.408248290463863,2,0.3333333333333333,0.816496580927726,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333,2,1.6666666666666667,3.0,0.0,0.0,0.0,0.0
138996,7,7,3,0.42857142857142855,1.1338934190276817,40,5.714285714285714,15.118578920369089,0.0,5.714285714285714,0.14285714285714285,0.14285714285714285,1.8571428571428572,4,2.2857142857142856,5.0,0.0,0.0,0.0,0.0
138999,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,4,2.6666666666666665,5.0,0.0,0.0,0.0,0.0
139063,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0
140660,9,9,3,1.4444444444444444,1.4240006242195884,35,10.666666666666666,12.893796958227627,10.444444444444445,0.2222222222222222,0.3333333333333333,0.5555555555555556,1.1111111111111112,2,1.7777777777777777,4.0,0.0,0.0,0.0,0.0
141090,10,10,3,0.3,0.9486832980505138,21,2.1,6.640783086353596,1.9,0.2,0.1,0.1,8.8,14,10.5,23.0,0.0,0.0,0.0,0.0
141091,11,11,3,0.2727272727272727,0.9045340337332909,21,1.9090909090909092,6.331738236133035,1.7272727272727273,0.18181818181818182,0.09090909090909091,0.09090909090909091,8.272727272727273,14,9.909090909090908,23.0,0.0,0.0,0.0,0.0
141092,11,11,3,0.2727272727272727,0.904534033733291,21,1.9090909090909092,6.331738236133035,1.7272727272727273,0.18181818181818182,0.09090909090909091,0.09090909090909091,8.545454545454545,14,10.181818181818182,23.0,0.0,0.0,0.0,0.0
141093,11,11,3,0.2727272727272727,0.9045340337332909,21,1.9090909090909092,6.331738236133035,1.7272727272727273,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.545454545454545,14,11.818181818181818,23.0,0.0,0.0,0.0,0.0
141094,6,6,3,0.5,1.224744871391589,21,3.5,8.573214099741124,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.16666666666666666,8.666666666666666,14,12.166666666666666,23.0,0.0,0.0,0.0,0.0
141104,11,11,3,0.5454545454545454,1.0357254813546264,68,7.454545454545454,20.397860850410936,1.0909090909090908,6.363636363636363,0.09090909090909091,0.18181818181818182,2.0,5,2.727272727272727,8.0,0.0,0.0,0.0,0.0
141153,3,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,4,15.0,17.0,0.0,0.0,0.0,0.0
142752,6,6,2,0.5,0.8366600265340756,12,2.6666666666666665,4.844240566555986,2.6666666666666665,0.0,0.0,0.16666666666666666,1.1666666666666667,2,3.1666666666666665,4.0,0.0,0.0,0.0,0.0
142811,6,6,3,0.5,1.224744871391589,18,3.0,7.3484692283495345,2.3333333333333335,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0
142870,6,6,1,0.3333333333333333,0.5163977794943222,2,0.6666666666666666,1.0327955589886444,0.0,0.6666666666666666,0.0,0.0,1.0,1,2.0,2.0,0.0,0.0,0.0,0.0
143536,6,6,1,0.16666666666666666,0.408248290463863,5,0.8333333333333334,2.041241452319315,0.8333333333333334,0.0,0.0,0.0,3.3333333333333335,6,6.166666666666667,11.0,0.0,0.0,0.0,0.0
144011,6,6,3,0.5,1.224744871391589,21,3.5,8.573214099741124,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.16666666666666666,7.666666666666667,12,8.666666666666666,12.0,0.0,0.0,0.0,0.0
144235,6,6,2,1.0,0.8944271909999159,14,4.333333333333333,5.278888771954441,4.333333333333333,0.0,0.0,0.3333333333333333,2.1666666666666665,6,2.3333333333333335,7.0,0.0,0.0,0.0,0.0
144271,6,6,3,0.5,1.224744871391589,21,3.5,8.573214099741124,3.1666666666666665,0.3333333333333333,0.16666666666666666,0.16666666666666666,7.666666666666667,12,8.666666666666666,12.0,0.0,0.0,0.0,0.0
144325,6,6,2,0.6666666666666666,1.0327955589886444,8,2.6666666666666665,4.131182235954578,2.6666666666666665,0.0,0.0,0.3333333333333333,4.666666666666667,11,7.5,17.0,0.0,0.0,0.0,0.0
144334,6,6,2,0.6666666666666666,1.0327955589886444,12,3.3333333333333335,5.316640543300503,3.3333333333333335,0.0,0.0,0.3333333333333333,4.0,9,7.333333333333333,14.0,0.0,0.0,0.0,0.0
